,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
13,AAPL250919P00070000,2025-06-30 19:11:12+00:00,70.0,0.01,0.0,0.12,0.0,0.0,1.0,1008,3.49218876953125,False,REGULAR,USD
14,AAPL250919P00075000,2025-07-08 16:14:58+00:00,75.0,0.03,0.0,0.12,0.0,0.0,70.0,769,3.2968767578125,False,REGULAR,USD
15,AAPL250919P00080000,2025-08-19 13:43:42+00:00,80.0,0.01,0.0,0.01,0.0,0.0,1.0,1979,2.50000375,False,REGULAR,USD
16,AAPL250919P00085000,2025-08-06 18:46:33+00:00,85.0,0.01,0.0,0.01,0.0,0.0,196.0,1315,2.3750040624999995,False,REGULAR,USD
17,AAPL250919P00090000,2025-08-08 16:37:47+00:00,90.0,0.01,0.0,0.14,0.0,0.0,5.0,2986,2.8359404101562498,False,REGULAR,USD
18,AAPL250919P00095000,2025-08-20 14:03:36+00:00,95.0,0.01,0.0,0.01,0.0,0.0,1.0,657,2.1250046874999997,False,REGULAR,USD
19,AAPL250919P00100000,2025-09-05 14:21:15+00:00,100.0,0.01,0.0,0.01,0.0,0.0,1.0,1645,2.000005,False,REGULAR,USD
20,AAPL250919P00105000,2025-08-11 13:32:05+00:00,105.0,0.03,0.0,0.0,0.0,0.0,91.0,2343,0.500005,False,REGULAR,USD
21,AAPL250919P00110000,2025-08-22 17:08:56+00:00,110.0,0.01,0.0,0.03,0.0,0.0,35.0,2720,1.96875015625,False,REGULAR,USD
22,AAPL250919P00115000,2025-09-10 18:56:52+00:00,115.0,0.04,0.0,0.05,0.0,0.0,5.0,938,1.9375003125,False,REGULAR,USD
23,AAPL250919P00120000,2025-09-08 13:30:03+00:00,120.0,0.01,0.0,0.06,0.0,0.0,2.0,3901,1.859375703125,False,REGULAR,USD
24,AAPL250919P00125000,2025-09-10 15:38:02+00:00,125.0,0.01,0.0,0.05,0.0,0.0,10.0,1294,1.71875140625,False,REGULAR,USD
25,AAPL250919P00130000,2025-09-10 14:49:14+00:00,130.0,0.01,0.0,0.02,0.0,0.0,3.0,2387,1.5000025,False,REGULAR,USD
26,AAPL250919P00135000,2025-09-10 17:54:59+00:00,135.0,0.01,0.0,0.01,0.0,0.0,10.0,3151,1.3125034374999998,False,REGULAR,USD
27,AAPL250919P00140000,2025-09-11 15:04:04+00:00,140.0,0.01,0.0,0.01,0.0,0.0,10.0,9115,1.2500037499999999,False,REGULAR,USD
28,AAPL250919P00145000,2025-09-08 19:16:44+00:00,145.0,0.01,0.0,0.01,0.0,0.0,14.0,6057,1.15625421875,False,REGULAR,USD
29,AAPL250919P00150000,2025-09-12 18:48:12+00:00,150.0,0.01,0.0,0.01,0.0,0.0,2.0,4676,1.09375453125,False,REGULAR,USD
30,AAPL250919P00155000,2025-09-10 19:43:58+00:00,155.0,0.01,0.0,0.01,0.0,0.0,25.0,2722,1.000005,False,REGULAR,USD
31,AAPL250919P00160000,2025-09-12 18:33:29+00:00,160.0,0.02,0.0,0.02,0.01,100.0,2.0,12757,0.992187578125,False,REGULAR,USD
32,AAPL250919P00165000,2025-09-12 18:55:03+00:00,165.0,0.01,0.0,0.02,-0.01,-50.0,4.0,22613,0.92187578125,False,REGULAR,USD
33,AAPL250919P00170000,2025-09-12 19:15:03+00:00,170.0,0.01,0.0,0.01,0.0,0.0,1.0,17672,0.79687703125,False,REGULAR,USD
34,AAPL250919P00175000,2025-09-12 19:08:55+00:00,175.0,0.01,0.0,0.01,0.0,0.0,224.0,8326,0.7187528125,False,REGULAR,USD
35,AAPL250919P00180000,2025-09-12 19:34:00+00:00,180.0,0.01,0.01,0.02,-0.01,-50.0,37.0,22182,0.73437765625,False,REGULAR,USD
36,AAPL250919P00185000,2025-09-12 19:57:42+00:00,185.0,0.02,0.01,0.02,0.0,0.0,1138.0,15275,0.6640658593750002,False,REGULAR,USD
37,AAPL250919P00190000,2025-09-12 19:47:15+00:00,190.0,0.02,0.01,0.02,-0.01,-33.333336,425.0,16179,0.5937540625000001,False,REGULAR,USD
38,AAPL250919P00195000,2025-09-12 19:49:10+00:00,195.0,0.02,0.02,0.03,-0.01,-33.333336,197.0,25124,0.5546919531250001,False,REGULAR,USD
39,AAPL250919P00200000,2025-09-12 19:54:27+00:00,200.0,0.04,0.03,0.04,-0.010000002,-20.000004,3033.0,35193,0.5039112109375,False,REGULAR,USD
40,AAPL250919P00205000,2025-09-12 19:49:10+00:00,205.0,0.05,0.04,0.05,-0.029999997,-37.499996,1238.0,19476,0.45313046875,False,REGULAR,USD
41,AAPL250919P00207500,2025-09-12 19:35:23+00:00,207.5,0.05,0.04,0.06,-0.040000003,-44.444447,258.0,2977,0.42774009765625004,False,REGULAR,USD
42,AAPL250919P00210000,2025-09-12 19:59:22+00:00,210.0,0.06,0.06,0.07,-0.030000005,-33.333336,930.0,16816,0.40039662109375,False,REGULAR,USD
43,AAPL250919P00212500,2025-09-12 19:59:21+00:00,212.5,0.08,0.07,0.08,-0.049999997,-38.461536,241.0,3070,0.36914693359375,False,REGULAR,USD
44,AAPL250919P00215000,2025-09-12 19:58:30+00:00,215.0,0.09,0.09,0.1,-0.08,-47.058823,2031.0,12961,0.34278000976562495,False,REGULAR,USD
45,AAPL250919P00217500,2025-09-12 19:57:55+00:00,217.5,0.12,0.13,0.14,-0.13999999,-53.84615,1085.0,5465,0.32227240234374993,False,REGULAR,USD
46,AAPL250919P00220000,2025-09-12 19:59:53+00:00,220.0,0.2,0.19,0.2,-0.2,-50.0,4604.0,20840,0.3007882421875,False,REGULAR,USD
47,AAPL250919P00222500,2025-09-12 19:59:50+00:00,222.5,0.31,0.3,0.31,-0.27999997,-47.457623,2480.0,5010,0.2841868457031249,False,REGULAR,USD
48,AAPL250919P00225000,2025-09-12 19:59:59+00:00,225.0,0.5,0.49,0.51,-0.58000004,-53.70371,14926.0,17904,0.27149166015625,False,REGULAR,USD
49,AAPL250919P00227500,2025-09-12 19:59:58+00:00,227.5,0.82,0.82,0.84,-0.94,-53.409092,16749.0,5099,0.2600171655273438,False,REGULAR,USD
50,AAPL250919P00230000,2025-09-12 19:59:58+00:00,230.0,1.36,1.35,1.38,-1.42,-51.079136,17721.0,16299,0.2514723291015625,False,REGULAR,USD
51,AAPL250919P00232500,2025-09-12 19:59:58+00:00,232.5,2.18,2.16,2.2,-1.8,-45.22613,14853.0,3817,0.24463645996093752,False,REGULAR,USD
52,AAPL250919P00235000,2025-09-12 19:59:58+00:00,235.0,3.35,3.3,3.4,-2.5500002,-43.22034,7210.0,9167,0.24268335449218748,True,REGULAR,USD
53,AAPL250919P00237500,2025-09-12 19:56:32+00:00,237.5,4.84,4.8,4.95,-2.7599998,-36.31579,2360.0,3226,0.242195078125,True,REGULAR,USD
54,AAPL250919P00240000,2025-09-12 19:59:54+00:00,240.0,6.69,6.65,6.85,-3.4699998,-34.15354,729.0,4816,0.24732197998046873,True,REGULAR,USD
55,AAPL250919P00242500,2025-09-12 19:49:51+00:00,242.5,9.03,8.7,8.95,-3.7700005,-29.453129,145.0,579,0.2500075,True,REGULAR,USD
56,AAPL250919P00245000,2025-09-12 19:29:40+00:00,245.0,11.0,10.95,11.3,-4.3,-28.104576,130.0,3497,0.27149166015625,True,REGULAR,USD
57,AAPL250919P00247500,2025-09-12 17:00:38+00:00,247.5,14.5,13.15,13.8,-4.7700005,-24.753506,4.0,45,0.3149482568359374,True,REGULAR,USD
58,AAPL250919P00250000,2025-09-12 19:03:55+00:00,250.0,15.75,15.65,16.25,-4.129999,-20.774645,16.0,349,0.344733115234375,True,REGULAR,USD
59,AAPL250919P00252500,2025-09-11 19:01:38+00:00,252.5,18.42,18.1,18.75,-4.1800003,-18.495577,1.0,7,0.383795224609375,True,REGULAR,USD
60,AAPL250919P00255000,2025-09-12 19:39:26+00:00,255.0,21.3,20.65,21.35,-4.1000004,-16.141733,500.0,118,0.44824770507812495,True,REGULAR,USD
61,AAPL250919P00260000,2025-09-12 19:39:26+00:00,260.0,26.3,25.7,26.65,-3.8000011,-12.624589,501.0,47,0.5942423388671876,True,REGULAR,USD
62,AAPL250919P00265000,2025-09-12 16:42:42+00:00,265.0,31.25,30.6,31.15,-4.049999,-11.473085,3.0,18,0.5273484765625001,True,REGULAR,USD
63,AAPL250919P00270000,2025-08-21 17:57:40+00:00,270.0,45.25,35.65,36.35,0.0,0.0,1.0,0,0.6660189648437502,True,REGULAR,USD
64,AAPL250919P00275000,2025-09-11 19:50:00+00:00,275.0,44.85,40.6,41.35,0.0,0.0,26.0,2,0.523442265625,True,REGULAR,USD
65,AAPL250919P00280000,2025-09-09 17:40:26+00:00,280.0,43.15,45.6,46.25,0.0,0.0,5.0,0,0.7587914746093751,True,REGULAR,USD
66,AAPL250919P00285000,2025-09-05 16:56:45+00:00,285.0,45.75,50.55,51.35,0.0,0.0,4.0,0,0.570316796875,True,REGULAR,USD
67,AAPL250919P00290000,2025-08-20 19:50:00+00:00,290.0,63.2,55.6,56.3,0.0,0.0,30.0,0,0.6171913281250001,True,REGULAR,USD
68,AAPL250919P00295000,2025-09-09 18:10:12+00:00,295.0,60.15,60.6,61.25,0.0,0.0,1.0,0,0.9345709667968749,True,REGULAR,USD
69,AAPL250919P00300000,2025-09-04 16:54:03+00:00,300.0,62.31,65.6,66.25,0.0,0.0,6.0,0,0.989257919921875,True,REGULAR,USD
70,AAPL250919P00310000,2025-08-18 17:33:31+00:00,310.0,78.6,75.6,76.35,0.0,0.0,2.0,0,0.8476577734374999,True,REGULAR,USD
71,AAPL250919P00320000,2025-03-18 13:44:06+00:00,320.0,105.9,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
72,AAPL250919P00330000,2025-05-05 16:08:55+00:00,330.0,130.0,125.65,128.25,0.0,0.0,1.0,0,4.87854394088745,True,REGULAR,USD
73,AAPL250919P00340000,2025-09-11 19:50:00+00:00,340.0,109.95,105.6,106.35,0.0,0.0,2.0,0,1.08984830078125,True,REGULAR,USD
74,AAPL250919P00350000,2024-12-16 05:02:07+00:00,350.0,122.84,101.25,102.55,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
75,AAPL250919P00370000,2025-09-04 19:50:00+00:00,370.0,130.9,135.6,136.45,0.0,0.0,1.0,0,1.41015919921875,True,REGULAR,USD
76,AAPL250919P00380000,2025-08-15 19:50:00+00:00,380.0,148.8,145.65,146.2,0.0,0.0,,0,1.6796891015625,True,REGULAR,USD
77,AAPL250919P00390000,2025-09-12 13:38:52+00:00,390.0,160.54,155.65,156.65,-0.94000244,-0.58211696,5.0,0,1.7089858300781249,True,REGULAR,USD
