Option_Type,Actual_Delta,Predicted_Delta,Absolute_Error,Squared_Error
call,0.44436,0.46001070737838745,0.015650707378387474,0.0002449446414439121
call,0.00921,0.02056874707341194,0.011358747073411942,0.00012902113507774437
call,0.72596,0.7143455147743225,0.01161448522567754,0.00013489626705748186
call,0.84521,0.8397825360298157,0.005427463970184343,2.945736514764919e-05
call,0.90744,0.9891284108161926,0.0816884108161926,0.006672996461675053
call,0.96635,0.9716190099716187,0.00526900997161861,2.7762466081016348e-05
call,0.08937,0.10014200210571289,0.010772002105712886,0.00011603602936548284
call,0.5083,0.4598549008369446,0.048445099163055394,0.0023469276329182703
call,0.34825,0.3820405602455139,0.03379056024551391,0.001141801961705705
call,0.8673,0.9957971572875977,0.1284971572875977,0.01651151943099362
call,0.2623,0.3561330735683441,0.09383307356834414,0.008804645695282283
call,0.41379,0.4463028311729431,0.032512831172943124,0.0010570841908803023
call,0.96554,0.9896494150161743,0.024109415016174363,0.0005812638924221339
call,0.85018,0.8966333270072937,0.046453327007293654,0.002157911590046558
call,0.92684,0.9853538274765015,0.05851382747650147,0.003423868005949778
put,-0.46114,7.826360160834156e-06,0.46114782636016083,0.21265731775670105
put,-0.04834,5.5428210632424424e-11,0.04834000005542821,0.0023367556053587994
put,-0.0201,2.982249114324986e-08,0.020100029822491143,0.00040401119886503335
put,-0.58617,1.8529202634454123e-06,0.5861718529202634,0.3435974411559749
put,-0.37907,3.6956853364245035e-06,0.37907369568533644,0.14369686676053905
put,-0.01214,3.0222299329807356e-08,0.01214003022229933,0.00014738033379834112
put,-0.43578,1.5735462511656806e-05,0.43579573546251166,0.18991792304731145
put,-0.00099,4.543026689828976e-34,0.00099,9.801e-07
put,-0.0897,2.2143604283542118e-08,0.08970002214360429,0.008046093972563098
put,-0.19974,7.271867161762202e-07,0.19974072718671618,0.03989635809707818
put,-0.00511,2.0468925056037042e-17,0.005110000000000021,2.6112100000000214e-05
put,-0.00659,3.101399555843045e-18,0.006590000000000004,4.342810000000005e-05
put,-0.19561,4.75330239169125e-07,0.19561047533023918,0.03826345805892211
put,-0.17116,8.75781370268669e-06,0.1711687578137027,0.029298743651486006
put,-0.22361,1.5974654843375902e-06,0.22361159746548434,0.050002146521065806
put,-0.15404,7.988752770415886e-09,0.15404000798875278,0.023728324061175022
put,-0.75751,2.603979510240606e-06,0.7575126039795103,0.5738253451878184
put,-0.01261,1.0373805764060662e-12,0.01261000000103738,0.00015901210002616271
put,-0.16257,4.275067855274983e-09,0.16257000427506785,0.026429006289995578
put,-0.00073,-0.0,0.00073,5.328999999999999e-07
put,-0.54313,1.0237929927825462e-05,0.5431402379299278,0.2950013180585786
put,-0.04616,9.534809208844308e-08,0.04616009534809209,0.002130754402544953
put,-0.09012,2.3292072910408024e-06,0.09012232920729105,0.008122034221747345
put,-0.01417,1.604987573955441e-07,0.014170160498757396,0.00020079344856054445
put,-0.10082,1.3294069844960177e-07,0.10082013294069846,0.01016469920618011
put,-0.54025,7.24660537798627e-07,0.5402507246605378,0.2918708454962362
put,-0.00392,1.4137443611649314e-21,0.00392,1.53664e-05
put,-0.02333,1.5565698729957944e-10,0.023330000155656987,0.0005442889072629551
put,-0.19267,5.598267183160033e-09,0.1926700055982672,0.03712173105723631
put,-0.06154,1.0747580745373853e-06,0.061541074758074535,0.0037873038823789187
put,-0.43008,2.62334174294665e-06,0.43008262334174296,0.18497106290051554
put,-0.61877,4.837354936171323e-06,0.6187748373549362,0.3828822993436278
put,-0.1144,3.3448184666440284e-08,0.11440003344818467,0.013087367652945771
put,-0.13743,1.5418494513141923e-05,0.13744541849451314,0.018891243065131853
put,-0.0226,7.508815420657922e-25,0.0226,0.00051076
put,-0.5107,1.93186442629667e-05,0.510719318644263,0.26083422243646026
put,-0.00065,-0.0,0.00065,4.225e-07
put,-0.37775,1.150736443378264e-05,0.37776150736443376,0.14270375644624914
put,-0.00067,-0.0,0.00067,4.4890000000000006e-07
put,-0.00119,-0.0,0.00119,1.4161000000000003e-06
put,-0.34332,1.4705739204146084e-06,0.34332147057392043,0.11786963215703931
put,-0.00298,4.5136516315851166e-23,0.00298,8.8804e-06
put,-0.158,1.3896179318351187e-08,0.15800001389617932,0.024964004391192857
put,-0.6169,4.656738383346237e-05,0.6169465673838335,0.38062306700669496
put,-0.10569,5.5558690092993857e-08,0.1056900555586901,0.011170387843999
put,-0.45697,2.756147750915261e-06,0.4569727561477509,0.20882409986127182
put,-0.32573,2.388393795627053e-06,0.32573238839379565,0.10610158884872653
put,-0.00086,9.924246054996515e-34,0.00086,7.396e-07
put,-0.02553,4.292564028673951e-07,0.025530429256402868,0.0006518028180161915
