Actual_Delta,Predicted_Delta,Absolute_Error
0.63439,0.6618331,0.027443107471466055
0.58675,0.62248313,0.03573313426971436
0.53646,0.54245746,0.005997461357116651
0.48506,0.4813024,0.00375758963584899
0.43495,0.42201388,0.012936121177673343
0.38684,0.37262878,0.014211221780776995
0.32268,0.28927714,0.03340286367416384
0.2776,0.24778098,0.02981902132034303
0.2366,0.2099697,0.026630300617218022
0.19983,0.17197098,0.027859021620750435
0.16731,0.14191844,0.025391564307212816
0.1389,0.11909738,0.01980261816978454
0.11438,0.09906481,0.015315187935829158
0.07578,0.06559718,0.010182823448181152
0.06101,0.05336928,0.007640720049142839
0.05419,0.039082468,0.015107532444000246
0.02398,0.02364399,0.0003360108840465559
0.02338,0.01736611,0.006013890584111215
0.01495,0.011537135,0.003412865352630615
0.94629,0.9800077,0.03371770807266239
0.946,0.9533663,0.007366279602050829
0.91883,0.95384455,0.03501454727172848
0.91099,0.93574846,0.024758457908630405
0.87778,0.8979747,0.020194729537963862
0.85018,0.88183415,0.03165414936065669
0.81954,0.86437416,0.044834160766601516
0.75032,0.8049079,0.05458791797637941
0.68002,0.71748,0.037460003833770794
0.59256,0.6377213,0.045161300125122095
0.49844,0.5014895,0.0030495200729370175
0.4066,0.40918162,0.0025816246509551832
0.30272,0.28521112,0.017508883924484242
0.22634,0.21347484,0.012865160074234022
0.16433,0.14103259,0.02329740853786469
0.1161,0.098465554,0.017634445583820338
0.07997,0.07056979,0.009400209100246429
0.05382,0.04756026,0.006259740300178528
0.03546,0.032388747,0.0030712532615661606
0.03462,0.024307957,0.01031204308092594
0.02347,0.016984425,0.0064855745148658765
0.92102,0.93905413,0.018034131507873585
0.84164,0.86862,0.026979978427886908
0.812,0.8510074,0.03900740194320673
0.75698,0.7736065,0.016626479167938246
0.71926,0.7396493,0.020389295806884755
0.6443,0.6498604,0.005560382080078141
0.59971,0.5792743,0.020435703239440883
0.55478,0.5460361,0.008743875770568899
0.5101,0.491944,0.018156014776229856
0.42361,0.39891335,0.024696646318435655
0.32459,0.30410296,0.020487042751312246
0.24992,0.22481036,0.025109638137817386
0.21722,0.18487039,0.03234960791587829
0.18765,0.15865868,0.0289913166999817
0.0988,0.08527917,0.013520833301544188
0.08307,0.07063298,0.012437020726203923
0.91321,0.9367039,0.023493920364379917
0.89381,0.9244329,0.03062287372589112
0.806,0.839631,0.03363102102279658
0.75339,0.7743475,0.020957484111785885
0.68029,0.70426244,0.02397243543624883
0.60314,0.61419773,0.011057731018066397
0.52047,0.5205137,4.371335983277547e-05
0.43855,0.43225166,0.006298337984085078
0.36222,0.3503886,0.011831413478851305
0.2711,0.23591784,0.03518216357231141
0.20907,0.18578307,0.023286926693916327
0.15799,0.13631539,0.021674609532356254
0.11715,0.10149,0.01566000159978867
0.02305,0.016315145,0.006734854581952096
0.01169,0.008893419,0.002796580942869187
0.01028,0.005668008,0.004611992231309413
0.98453,0.975903,0.008627025394439714
0.96559,0.97858685,0.012996852550506643
0.97101,0.96860486,0.002405137310028116
0.96174,0.9642866,0.0025466253852843845
0.9506,0.959083,0.008483020687103271
0.94794,0.945459,0.0024809917831420947
0.93368,0.9359569,0.0022768953514099577
0.90498,0.93421394,0.029233936328887933
0.8856,0.9237741,0.03817412319183344
0.87692,0.8957087,0.018788680152893034
0.85342,0.881019,0.02759899623870854
0.82781,0.8635282,0.0357181920433044
0.80026,0.8479191,0.0476591064834595
0.78257,0.80048674,0.017916743450164807
0.75026,0.7790917,0.028831715812683067
0.71642,0.7565905,0.040170485572814996
0.68136,0.72256,0.04119998849868778
0.64545,0.66873217,0.023282166290283235
0.60902,0.6548978,0.04587780902862548
0.57122,0.5824974,0.01127741792678838
0.53171,0.5355089,0.003798871078491195
0.4927,0.48096552,0.011734475088119534
0.45455,0.45979503,0.005245027971267691
0.41756,0.40020484,0.01735516267776488
0.38197,0.36469418,0.01727582189559934
0.34801,0.32570633,0.022303667078018174
0.29416,0.27538294,0.018777063999176002
0.2623,0.24641618,0.015883818674087502
0.23283,0.20483936,0.02799063630580903
0.18109,0.1606594,0.02043059739112854
0.13858,0.122820765,0.015759235219955453
0.10448,0.09111846,0.013361537616252903
0.07769,0.06875747,0.008932533028125758
0.05704,0.051796556,0.0052434444808959965
0.04354,0.030916415,0.012623584845066073
0.03254,0.023940008,0.008599991866350173
0.02415,0.018138867,0.006011133128404619
0.02084,0.011360321,0.009479678806066514
0.90463,0.91044694,0.005816941852569535
0.8858,0.89821774,0.012417737674713103
0.86508,0.8822852,0.01720517770767216
0.84257,0.86771816,0.02514816015243526
0.8184,0.85079384,0.032393838500976546
0.8047,0.8088628,0.004162805366516142
0.68439,0.72638136,0.041991361484527534
0.61924,0.6419189,0.022678897628784167
0.54994,0.5499336,6.387653350814482e-06
0.48002,0.46331084,0.0167091622543335
0.41339,0.40430042,0.009089578523635844
0.35153,0.33541998,0.016110017328262338
0.27202,0.24530326,0.02671674170017241
0.13911,0.1266619,0.01244810329437257
0.10873,0.09765673,0.01107327316284179
0.06453,0.06068276,0.0038472413110733072
