strike,expiration,historical_delta,current_delta,delta_change,delta_change_pct,historical_volume,current_volume,historical_oi,current_oi,days_to_expiry
235.0,2025-12-19,-0.4818,-0.48182,-2.0000000000020002e-05,-0.004151100041515152,102,102,2467,2467,121
240.0,2026-04-17,-0.478,-0.47805,-4.999999999999449e-05,-0.010460251046023954,2,2,1,1,240
235.0,2026-01-16,-0.4692,-0.46925,-4.999999999999449e-05,-0.01065643648763736,49,49,4546,4546,149
240.0,2026-05-15,-0.4686,-0.46865,-4.999999999999449e-05,-0.010670081092615129,26,26,42,42,268
240.0,2026-06-18,-0.4584,-0.45839,9.99999999995449e-06,0.002181500872590421,6,6,950,950,302
235.0,2026-02-20,-0.4542,-0.45422,-2.0000000000020002e-05,-0.004403346543377367,6,6,203,203,184
230.0,2025-08-29,-0.4446,-0.44462,-2.0000000000020002e-05,-0.004498425551061629,1775,1775,5637,5637,9
230.0,2025-09-05,-0.4438,-0.44384,-4.0000000000040004e-05,-0.009013068949986481,1284,1284,2014,2014,16
230.0,2025-09-12,-0.4436,-0.44355,4.999999999999449e-05,0.0112714156898094,1661,1661,2378,2378,23
230.0,2025-09-19,-0.4423,-0.44234,-3.999999999998449e-05,-0.009043635541484171,1347,1347,10167,10167,30
230.0,2025-09-26,-0.4407,-0.44074,-4.0000000000040004e-05,-0.009076469253469482,438,438,175,175,37
240.0,2026-08-21,-0.4383,-0.43828,2.0000000000020002e-05,0.0045630846452247315,20,20,94,94,366
230.0,2025-08-22,-0.4377,-0.43772,-2.0000000000020002e-05,-0.004569339730413526,26016,26016,6279,6279,2
235.0,2026-04-17,-0.4377,-0.43767,2.999999999997449e-05,0.006854009595607607,1,1,0,0,240
230.0,2025-10-17,-0.4352,-0.43524,-4.0000000000040004e-05,-0.009191176470597428,1437,1437,7268,7268,58
230.0,2025-11-21,-0.428,-0.42795,4.999999999999449e-05,0.011682242990652918,574,574,9480,9480,93
260.0,2027-12-17,-0.4271,-0.42706,3.999999999998449e-05,0.009365488176067548,1,1,626,626,849
235.0,2026-06-18,-0.4226,-0.42256,3.999999999998449e-05,0.009465215333645171,13,13,1958,1958,302
230.0,2025-12-19,-0.4212,-0.42117,3.0000000000030003e-05,0.007122507122514245,107,107,2295,2295,121
240.0,2026-12-18,-0.4136,-0.41359,1.0000000000010001e-05,0.002417794970988878,1,1,4733,4733,485
230.0,2026-01-16,-0.413,-0.41301,-1.0000000000010001e-05,-0.0024213075060556906,5106,5106,8842,8842,149
240.0,2027-01-15,-0.4085,-0.40852,-2.0000000000020002e-05,-0.004895960832318238,32,32,4382,4382,513
230.0,2026-02-20,-0.4076,-0.40762,-1.999999999996449e-05,-0.004906771344446636,58,58,3852,3852,184
235.0,2026-09-18,-0.4031,-0.40308,2.0000000000020002e-05,0.00496154800298189,209,209,328,328,394
230.0,2026-03-20,-0.4022,-0.4022,0.0,0.0,57,57,2163,2163,212
250.0,2027-12-17,-0.393,-0.39298,2.0000000000020002e-05,0.005089058524178117,2,2,490,490,849
230.0,2026-05-15,-0.3922,-0.39222,-2.0000000000020002e-05,-0.005099439061708313,4,4,132,132,268
230.0,2026-06-18,-0.3866,-0.38661,-1.0000000000010001e-05,-0.002586652871187274,342,342,3045,3045,302
240.0,2027-06-17,-0.3842,-0.38416,3.999999999998449e-05,0.010411244143671132,10,10,135,135,666
227.5,2025-09-19,-0.3811,-0.38112,-2.0000000000020002e-05,-0.005247966413020205,127,127,0,0,30
230.0,2026-08-21,-0.3782,-0.37815,4.999999999999449e-05,0.01322051824431372,417,417,96,96,366
230.0,2026-09-18,-0.3741,-0.37414,-3.999999999998449e-05,-0.010692328254473268,50,50,271,271,394
227.5,2025-09-05,-0.3713,-0.37131,-9.99999999995449e-06,-0.002693239967668863,505,505,0,0,16
225.0,2025-12-19,-0.3639,-0.36391,-1.0000000000010001e-05,-0.0027480076944242926,94,94,5190,5190,121
225.0,2026-01-16,-0.3633,-0.36333,-2.999999999997449e-05,-0.008257638315434763,226,226,13807,13807,149
225.0,2025-11-21,-0.3627,-0.36269,1.0000000000010001e-05,0.002757099531295837,89,89,1512,1512,93
230.0,2026-12-18,-0.362,-0.36202,-2.0000000000020002e-05,-0.005524861878458564,1,1,2046,2046,485
225.0,2026-02-20,-0.3613,-0.36132,-1.999999999996449e-05,-0.00553556601161486,5,5,383,383,184
230.0,2027-01-15,-0.3585,-0.35853,-3.0000000000030003e-05,-0.008368200836828453,63,63,1088,1088,513
227.5,2025-08-29,-0.3584,-0.35836,3.999999999998449e-05,0.01116071428570996,2287,2287,1684,1684,9
225.0,2026-04-17,-0.3567,-0.35672,-1.999999999996449e-05,-0.005606952621240395,16,16,1,1,240
225.0,2026-06-18,-0.3546,-0.35463,-2.999999999997449e-05,-0.008460236886625632,16,16,1853,1853,302
225.0,2025-10-17,-0.3467,-0.34666,3.999999999998449e-05,0.01153735217767075,235,235,2771,2771,58
225.0,2026-09-18,-0.3453,-0.34528,2.0000000000020002e-05,0.005792064871132349,39,39,571,571,394
225.0,2025-09-26,-0.3414,-0.34141,-1.0000000000010001e-05,-0.0029291154071499712,84,84,241,241,37
230.0,2027-06-17,-0.341,-0.34104,-3.999999999998449e-05,-0.011730205278587827,4,4,460,460,666
225.0,2025-09-19,-0.3329,-0.33294,-4.0000000000040004e-05,-0.012015620306410336,926,926,11172,11172,30
230.0,2027-12-17,-0.3235,-0.32348,2.0000000000020002e-05,0.00618238021638949,8,8,507,507,849
220.0,2026-05-15,-0.323,-0.32303,-2.999999999997449e-05,-0.00928792569658653,13,13,409,409,268
