Option_Type,Actual_Delta,Predicted_Delta,Absolute_Error,Squared_Error
put,-0.19561,6.017220943732582e-09,0.19561000601722095,0.038263274454057215
put,-0.17116,8.489962108073582e-17,0.1711600000000001,0.02929574560000003
put,-0.22361,9.57095860898427e-12,0.22361000000957096,0.050001432104280326
put,-0.15404,2.8489488546057373e-10,0.1540400002848949,0.02372832168777042
put,-0.75751,3.158929636573863e-17,0.75751,0.5738214001
put,-0.01261,1.0454166015933658e-13,0.012610000000104541,0.00015901210000263653
put,-0.16257,8.941876572521323e-09,0.16257000894187656,0.026429007807361828
put,-0.00073,-0.0,0.00073,5.328999999999999e-07
put,-0.54313,2.126644176314585e-07,0.5431302126644176,0.2949904279088955
put,-0.04616,5.8650744904298335e-05,0.0462186507449043,0.0021361636766794425
put,-0.09012,0.0005769333220086992,0.0906969333220087,0.008225933714016894
put,-0.01417,8.409124633602938e-13,0.014170000000840913,0.00020078890002383145
put,-0.10082,1.497294199737098e-08,0.100820014972942,0.01016467541914425
put,-0.54025,1.1190861883744556e-19,0.54025,0.2918700625
put,-0.00392,1.4860467725577067e-20,0.00392,1.53664e-05
put,-0.02333,4.0698407355079883e-20,0.02333,0.0005442889
put,-0.19267,6.09844209975563e-05,0.19273098442099756,0.037145232355886806
put,-0.06154,4.041984539071564e-06,0.06154404198453907,0.0037876691037947077
put,-0.43008,8.836642355347646e-12,0.43008000000883667,0.18496880640760094
put,-0.61877,1.4926751292111814e-15,0.6187700000000015,0.38287631290000185
put,-0.1144,4.0623660879646195e-08,0.11440004062366088,0.01308736929469526
put,-0.13743,1.8169425924745297e-14,0.13743000000001818,0.018887004900004997
put,-0.0226,-0.0,0.0226,0.00051076
put,-0.5107,1.6686827564171836e-07,0.5107001668682757,0.26081466043928464
put,-0.00065,-0.0,0.00065,4.225e-07
put,-0.37775,3.773770629322826e-09,0.3777500037737706,0.1426950653510837
put,-0.00067,-0.0,0.00067,4.4890000000000006e-07
put,-0.00119,-0.0,0.00119,1.4161000000000003e-06
put,-0.34332,1.0243554831137255e-14,0.3433200000000103,0.11786862240000706
put,-0.00298,-0.0,0.00298,8.8804e-06
put,-0.158,3.084251265299785e-14,0.15800000000003084,0.024964000000009746
put,-0.6169,1.1889674086853347e-13,0.6169000000001189,0.3805656100001467
put,-0.10569,9.934016283186242e-12,0.10569000000993402,0.011170376102099852
put,-0.45697,0.00014894198102410883,0.4571189419810241,0.20895772711785088
put,-0.32573,4.1752729745825334e-12,0.3257300000041753,0.10610003290272003
put,-0.00086,6.398356589868647e-37,0.00086,7.396e-07
put,-0.02553,2.952628165076021e-06,0.025532952628165077,0.0006519316699121219
